# Time,Isd_mean,Isd_std,Isd_rms,Isd_minTime,Ig_mean,Ig_std,Ig_rms,Ig_min
9.499924689999999828e+03,-3.470141999999997590e-07,3.631762431657611371e-09,3.470332040309686166e-07,-3.542799999999990140e-07,-9.710049999999999985e-10,5.246378856723463272e-09,5.335479530304656865e-09,-7.757299999999999258e-09
9.599924650000000838e+03,-3.480059999999998407e-07,2.901290057888019171e-09,3.480180936675561218e-07,-3.538399999999999974e-07,-3.977000000000000329e-10,3.596790034489085893e-09,3.618710245681464024e-09,-7.667999999999999577e-09
9.699924660000000586e+03,-3.519905999999999173e-07,2.241245109308635229e-09,3.519977353165782643e-07,-3.563200000000000037e-07,-3.781689999999999377e-10,2.398900178193957046e-09,2.428525037445568164e-09,-3.446199999999999949e-09
9.799924650000000838e+03,-3.515109999999998711e-07,2.157356484218631172e-09,3.515176201956310565e-07,-3.573399999999999956e-07,1.918999999999910539e-12,2.464042769908631115e-09,2.464043517168476875e-09,-3.447900000000000057e-09
9.899924660000000586e+03,-3.565291999999998809e-07,2.214760339178967589e-09,3.565360789821977026e-07,-3.614399999999999860e-07,-1.247002000000000157e-09,2.268734354126987320e-09,2.588854873800383500e-09,-3.447000000000000194e-09
9.999924660000000586e+03,-3.465779999999999155e-07,2.911349515259147716e-09,3.465902278483914407e-07,-3.534999999999999824e-07,9.834329999999999064e-10,2.098372157318858414e-09,2.317392106679402636e-09,-3.458099999999999877e-09
1.009992469999999958e+04,-3.464697999999998087e-07,2.285203702080022029e-09,3.464773361534630876e-07,-3.522799999999999755e-07,-2.283169999999998641e-10,2.457989390581456354e-09,2.468570537112520738e-09,-3.478299999999999869e-09
1.019992466000000059e+04,-3.432027999999998894e-07,2.611762653841240755e-09,3.432127375724856831e-07,-3.486799999999990168e-07,-1.150830000000000435e-10,2.406646316767588170e-09,2.409396312543870182e-09,-3.463100000000000170e-09
1.029992468999999983e+04,-3.415741999999998903e-07,4.883793030012614298e-09,3.416091122028215706e-07,-3.601600000000000169e-07,-3.491970000000000195e-10,2.444133423627073094e-09,2.468952558738219178e-09,-3.476100000000000021e-09
1.039992465000000084e+04,-3.392967999999999072e-07,3.414806255118995808e-09,3.393139834902180233e-07,-3.485200000000000000e-07,-7.160419999999999557e-10,2.502659161619096138e-09,2.603078758893015131e-09,-3.464500000000000185e-09
1.049992468999999983e+04,-3.378925999999999720e-07,4.349231338983904629e-09,3.379205897071084680e-07,-3.595799999999999945e-07,-2.583639999999999052e-10,2.436260116593464413e-09,2.449921491027824823e-09,-3.475399999999999807e-09
1.059992468999999983e+04,-3.517165999999998184e-07,1.582793607644404583e-08,3.520725639353340493e-07,-3.729799999999999954e-07,-2.107279999999998331e-10,2.415193899051585122e-09,2.424369579911445523e-09,-3.475200000000000159e-09
1.069992468999999983e+04,-3.360417999999997897e-07,3.561396462063774346e-09,3.360606714449042724e-07,-3.558200000000000191e-07,-3.073330000000000905e-10,2.449562096010427477e-09,2.468766500724602841e-09,-3.464400000000000155e-09
1.079992468999999983e+04,-3.374683999999999833e-07,2.832388645648772271e-09,3.374802859783070167e-07,-3.449400000000000169e-07,-2.907650000000001328e-10,2.364439703032200172e-09,2.382250909224298807e-09,-3.478199999999999838e-09
1.089992468999999983e+04,-3.403293999999999187e-07,3.346316727388492157e-09,3.403458510691734068e-07,-3.596199999999999869e-07,-2.048959999999999767e-10,2.022820358109933454e-09,2.033171063142498942e-09,-3.191700000000000052e-09
1.099992468999999983e+04,-3.422557999999998479e-07,4.278845914496049378e-09,3.422825457951367596e-07,-3.544199999999990139e-07,1.129569999999999905e-10,2.181674668013313478e-09,2.184596905815807137e-09,-3.441200000000000069e-09
1.109992465000000084e+04,-3.348000000000000069e-07,0.000000000000000000e+00,3.348000000000000069e-07,-3.348000000000000069e-07,2.042199999999999834e-09,0.000000000000000000e+00,2.042199999999999834e-09,2.042199999999999834e-09
